pasc,PASC Name Simple,ICD-10-CM Code,ICD-10-CM Code_clean,ICD-10-CM Code Description,selected stringent,selected broader,snomed_code,mapping_source,concept_id,concept_name
Diabetes mellitus with complication,Diabetes mellitus,E1365,E13.65,Other specified diabetes mellitus with hyperglycemia,1,1,43959009,imo,376979,Cataract due to diabetes mellitus
Other general signs and symptoms,Edema,R29898,R29.898,Other symptoms and signs involving the musculoskeletal system,1,1,429361000124100,imo,762594,Suspected fracture of hip
Pressure ulcer of skin,Pressure ulcer,L89220,L89.220,"Pressure ulcer of left hip, unstageable",1,1,11790921000119104,imo,608417,Left thigh injury
Headache; including migraine,Headache,R51,R51,Headache,1,1,199149000,imo,4062673,Other pregnancy complication with postnatal complication
Other general signs and symptoms,Edema,R601,R60.1,Generalized edema,1,1,18351000175106,imo,37207427,Severe generalized edema
Diabetes mellitus with complication,Diabetes mellitus,E113219,E11.3219,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,1,397542006,imo,4288371,Moderate visual impairment
Pressure ulcer of skin,Pressure ulcer,L89893,L89.893,"Pressure ulcer of other site, stage 3",1,1,10649111000119106,imo,NULL,NULL
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,O2223,O22.23,"Superficial thrombophlebitis in pregnancy, third trimester",1,1,20956009,imo,4051446,Phlebitis complicating pregnancy AND/OR puerperium
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I82421,I82.421,Acute embolism and thrombosis of right iliac vein,1,1,429098002,imo,4327889,Thromboembolism of vein
"Musculoskeletal pain, not low back pain",Joint pain,M7910,M79.10,"Myalgia, unspecified site",1,1,82423001,imo,436096,Chronic pain
Diabetes mellitus with complication,Diabetes mellitus,E083412,E08.3412,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, left eye",1,1,8801005,imo,195771,Secondary diabetes mellitus
Nervous system signs and symptoms,Cognitive problems,R4189,R41.89,Other symptoms and signs involving cognitive functions and awareness,1,1,386806002,imo,443432,Impaired cognition
Respiratory signs and symptoms,Dyspnea,R0902,R09.02,Hypoxemia,1,1,713890008,imo,37019089,Hypoxemia during surgery
Diabetes mellitus with complication,Diabetes mellitus,E113511,E11.3511,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",1,1,59276001,imo,380096,Proliferative retinopathy due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E113493,E11.3493,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",1,1,397542006,imo,4288371,Moderate visual impairment
Neurocognitive disorders,Dementia,F0280,F02.80,Dementia in other diseases classified elsewhere without behavioral disturbance,1,1,230268000,imo,4043244,Non-familial Alzheimer's disease of late onset
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I80293,I80.293,"Phlebitis and thrombophlebitis of other deep vessels of lower extremity, bilateral",1,1,770112002,imo,35608191,Phlebitis of dorsal venous arch of foot
Diabetes mellitus with complication,Diabetes mellitus,E0839,E08.39,Diabetes mellitus due to underlying condition with other diabetic ophthalmic complication,1,1,218951000119100,imo,45757571,Bilateral visual impairment
Diabetes mellitus with complication,Diabetes mellitus,E11351,E11.351,Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema,1,1,4855003,imo,4174977,Retinopathy due to diabetes mellitus
Pressure ulcer of skin,Pressure ulcer,L89622,L89.622,"Pressure ulcer of left heel, stage 2",1,1,35841000175100,imo,NULL,NULL
Diabetes mellitus with complication,Diabetes mellitus,E082,E08.2,Diabetes mellitus due to underlying condition with kidney complications,1,1,NULL,imo,NULL,NULL
Diabetes mellitus with complication,Diabetes mellitus,E08349,E08.349,Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema,1,1,408410002,imo,4235260,O/E - left eye background diabetic retinopathy
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R17,R17,Unspecified jaundice,1,1,236482006,imo,4126436,Inherited renal tubule insufficiency with cholestatic jaundice
Other general signs and symptoms,Edema,R6250,R62.50,Unspecified lack of expected normal physiological development in childhood,1,1,787093004,imo,37204024,"Developmental delay, facial dysmorphism syndrome due to MED13L deficiency"
Other specified and unspecified lower respiratory disease,Pulmonary fibrosis,J8489,J84.89,Other specified interstitial pulmonary diseases,1,1,737183007,imo,42537658,Interstitial lung disease due to metabolic disease
Other specified and unspecified skin disorders,Hair loss,L752,L75.2,Apocrine miliaria,1,1,65038009,imo,136186,Apocrine miliaria
Sleep wake disorders,Sleep disorders,G47419,G47.419,Narcolepsy without cataplexy,1,1,44054006,imo,201826,Type 2 diabetes mellitus
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I80201,I80.201,Phlebitis and thrombophlebitis of unspecified deep vessels of right lower extremity,1,1,40198004,imo,4221821,Thrombophlebitis of deep veins of lower extremity
Diabetes mellitus with complication,Diabetes mellitus,E103419,E10.3419,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,1,57534004,imo,434337,Retinal vascular disorder
Diabetes mellitus with complication,Diabetes mellitus,E1134,E11.34,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy,1,1,44054006,imo,201826,Type 2 diabetes mellitus
Other nervous system disorders (neither hereditary nor degenerative),Encephalopathy,G9511,G95.11,Acute infarction of spinal cord (embolic) (nonembolic),1,1,432249006,imo,4332369,Infarction of spinal cord
Diabetes mellitus with complication,Diabetes mellitus,E103219,E10.3219,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,1,769219006,imo,35626069,Macular edema due to type 1 diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E133499,E13.3499,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",1,1,95717004,imo,4318691,Secondary glaucoma
Diabetes mellitus with complication,Diabetes mellitus,E103419,E10.3419,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,1,232020009,imo,4334884,Disorder of macula due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E1343,E13.43,Other specified diabetes mellitus with diabetic autonomic (poly)neuropathy,1,1,50620007,imo,4175440,Autonomic neuropathy due to diabetes mellitus
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R1935,R19.35,Periumbilic abdominal rigidity,1,1,438512007,imo,135934,Abdominal rigidity of periumbilical region
Respiratory signs and symptoms,Dyspnea,R093,R09.3,Abnormal sputum,1,1,446394004,imo,40487458,Microbial culture finding
Nervous system signs and symptoms,Cognitive problems,R4189,R41.89,Other symptoms and signs involving cognitive functions and awareness,1,1,407675009,imo,4236312,Complex partial epileptic seizure
Other nervous system disorders (neither hereditary nor degenerative),Encephalopathy,G96198,G96.198,"Other disorders of meninges, not elsewhere classified",1,1,300848003,imo,4102111,Mass of body structure
Pressure ulcer of skin,Pressure ulcer,L89310,L89.310,"Pressure ulcer of right buttock, unstageable",1,1,225563000,imo,200485,Pressure ulcer of buttock
Other general signs and symptoms,Edema,R6889,R68.89,Other general symptoms and signs,1,1,289021006,imo,4122447,Does not use hands to feed self
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I8010,I80.10,Phlebitis and thrombophlebitis of unspecified femoral vein,1,1,77535002,imo,4298329,Phlebitis of deep femoral vein
Diabetes mellitus with complication,Diabetes mellitus,E113599,E11.3599,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",1,1,312907002,imo,4195043,High risk proliferative retinopathy due to diabetes mellitus
Neurocognitive disorders,Dementia,F0150,F01.50,Vascular dementia without behavioral disturbance,1,1,16276361000119109,imo,37109056,Vascular dementia without behavioral disturbance
Diabetes mellitus with complication,Diabetes mellitus,E1129,E11.29,Type 2 diabetes mellitus with other diabetic kidney complication,1,1,420279001,imo,443731,Renal disorder due to type 2 diabetes mellitus
Other nervous system disorders (neither hereditary nor degenerative),Encephalopathy,G08,G08,Intracranial and intraspinal phlebitis and thrombophlebitis,1,1,34095006,imo,435796,Dehydration
Respiratory signs and symptoms,Dyspnea,R0981,R09.81,Nasal congestion,1,1,64531003,imo,4276172,Nasal discharge
Sleep wake disorders,Sleep disorders,G4762,G47.62,Sleep related leg cramps,1,1,58690002,imo,440087,Parasomnia
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R1012,R10.12,Left upper quadrant pain,1,1,314212008,imo,4200114,Abdominal pain - cause unknown
Diabetes mellitus with complication,Diabetes mellitus,E1169,E11.69,Type 2 diabetes mellitus with other specified complication,1,1,76976005,imo,372914,Optic atrophy
Sleep wake disorders,Sleep disorders,G47419,G47.419,Narcolepsy without cataplexy,1,1,427426006,imo,4141828,Sleep attack
Pressure ulcer of skin,Pressure ulcer,L89891,L89.891,"Pressure ulcer of other site, stage 1",1,1,11852701000119103,imo,765380,Injury of toe of right foot
Other specified and unspecified skin disorders,Hair loss,L658,L65.8,Other specified nonscarring hair loss,1,1,201135005,imo,4063459,Alopecia senilis
Diabetes mellitus with complication,Diabetes mellitus,E109,E10.9,Type 1 diabetes mellitus without complications,1,1,28032008,imo,4102018,Insulin dependent diabetes mellitus type 1B
Nervous system signs and symptoms,Cognitive problems,R2990,R29.90,Unspecified symptoms and signs involving the nervous system,1,1,13028004,imo,4045562,Abnormal nervous system function
Diabetes mellitus with complication,Diabetes mellitus,E083419,E08.3419,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,1,193745007,imo,376402,"Low vision, one eye"
Diabetes mellitus with complication,Diabetes mellitus,E083499,E08.3499,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",1,1,314014002,imo,4210874,Ischemic maculopathy due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E083522,E08.3522,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",1,1,770766000,imo,36674200,Proliferative retinopathy of left eye due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E113292,E11.3292,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",1,1,73211009,imo,201820,Diabetes mellitus
"Musculoskeletal pain, not low back pain",Joint pain,M25512,M25.512,Pain in left shoulder,1,1,15729561000119103,imo,761505,Arthropathy of left shoulder
Diabetes mellitus with complication,Diabetes mellitus,E10339,E10.339,Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,1,1,314015001,imo,4195498,Mixed maculopathy due to diabetes mellitus
Neurocognitive disorders,Dementia,F0280,F02.80,Dementia in other diseases classified elsewhere without behavioral disturbance,1,1,12348006,imo,378125,Presenile dementia
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I82C11,I82.C11,Acute embolism and thrombosis of right internal jugular vein,1,1,307221007,imo,4145867,Venous occlusion
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R1012,R10.12,Left upper quadrant pain,1,1,111985007,imo,4008102,Chronic abdominal pain
Other general signs and symptoms,Edema,R99,R99,Ill-defined and unknown cause of mortality,1,1,18893004,imo,4077917,Non-traffic vehicular accidental death
Diabetes mellitus with complication,Diabetes mellitus,E1139,E11.39,Type 2 diabetes mellitus with other diabetic ophthalmic complication,1,1,15188001,imo,377889,Hearing loss
Diabetes mellitus with complication,Diabetes mellitus,E1122,E11.22,Type 2 diabetes mellitus with diabetic chronic kidney disease,1,1,46177005,imo,193782,End-stage renal disease
Other general signs and symptoms,Edema,R590,R59.0,Localized enlarged lymph nodes,1,1,127083009,imo,4131922,Submental lymphadenopathy
Diabetes mellitus with complication,Diabetes mellitus,E10331,E10.331,Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,1,1,390834004,imo,376683,Nonproliferative retinopathy due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E08319,E08.319,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular edema,1,1,1909000,imo,374039,Impairment level: better eye: severe impairment: lesser eye: near-total impairment
Other general signs and symptoms,Edema,R600,R60.0,Localized edema,1,1,816179007,imo,37311252,Edema of left lower leg
Diabetes mellitus with complication,Diabetes mellitus,E11630,E11.630,Type 2 diabetes mellitus with periodontal disease,1,1,716362006,imo,37396524,Gingival disease co-occurrent with diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E1036,E10.36,Type 1 diabetes mellitus with diabetic cataract,1,1,314537004,imo,4151453,Diabetic optic papillopathy
"Musculoskeletal pain, not low back pain",Joint pain,M79674,M79.674,Pain in right toe(s),1,1,418237007,imo,4303651,Pain in hallux
Other specified and unspecified lower respiratory disease,Pulmonary fibrosis,J989,J98.9,"Respiratory disorder, unspecified",1,1,386661006,imo,437663,Fever
Diabetes mellitus with complication,Diabetes mellitus,E103419,E10.3419,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,1,95717004,imo,4318691,Secondary glaucoma
Neurocognitive disorders,Dementia,G300,G30.0,Alzheimers disease with early onset,1,1,6475002,imo,4277444,"Primary degenerative dementia of the Alzheimer type, presenile onset, uncomplicated"
Pressure ulcer of skin,Pressure ulcer,L89223,L89.223,"Pressure ulcer of left hip, stage 3",1,1,11790921000119104,imo,608417,Left thigh injury
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I8290,I82.90,Acute embolism and thrombosis of unspecified vein,1,1,31935007,imo,4135475,Complication due to vaccination
Diabetes mellitus with complication,Diabetes mellitus,E083541,E08.3541,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",1,1,770765001,imo,36674199,Proliferative retinopathy of right eye with diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E10319,E10.319,Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema,1,1,75133003,imo,377289,Impairment level: moderate impairment of both eyes
Other general signs and symptoms,Edema,R52,R52,"Pain, unspecified",1,1,279044000,imo,4150754,Total body pain syndrome
Diabetes mellitus with complication,Diabetes mellitus,E10311,E10.311,Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema,1,1,4646004,imo,380718,Impairment level: one eye: profound impairment: other eye: not specified
Diabetes mellitus with complication,Diabetes mellitus,E083531,E08.3531,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",1,1,331811000119104,imo,36684616,Traction detachment of right retina
Headache; including migraine,Headache,G43809,G43.809,"Other migraine, not intractable, without status migrainosus",1,1,20425006,imo,81303,Labyrinthine disorder
Nervous system signs and symptoms,Cognitive problems,R404,R40.4,Transient alteration of awareness,1,1,422768004,imo,4309389,Unresponsive
Pressure ulcer of skin,Pressure ulcer,L89509,L89.509,"Pressure ulcer of unspecified ankle, unspecified stage",1,1,444074000,imo,40484649,Type 1 diabetes mellitus well controlled
Diabetes mellitus with complication,Diabetes mellitus,E083599,E08.3599,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, unspecified eye",1,1,25093002,imo,443767,Disorder of eye due to diabetes mellitus
Sleep wake disorders,Sleep disorders,G4710,G47.10,"Hypersomnia, unspecified",1,1,77692006,imo,438134,Hypersomnia
Diabetes mellitus with complication,Diabetes mellitus,E1165,E11.65,Type 2 diabetes mellitus with hyperglycemia,1,1,422099009,imo,443733,Disorder of eye due to type 2 diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E10331,E10.331,Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,1,1,193708001,imo,4104386,"Better eye: profound visual impairment, Lesser eye: profound visual impairment"
Sleep wake disorders,Sleep disorders,G4754,G47.54,Parasomnia in conditions classified elsewhere,1,1,428708005,imo,4181303,Secondary parasomnia
"Musculoskeletal pain, not low back pain",Joint pain,M549,M54.9,"Dorsalgia, unspecified",1,1,1121000119107,imo,43530622,Chronic neck pain
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I82403,I82.403,"Acute embolism and thrombosis of unspecified deep veins of lower extremity, bilateral",1,1,428781001,imo,4181315,Deep venous thrombosis associated with coronary artery bypass graft
Nervous system signs and symptoms,Cognitive problems,R488,R48.8,Other symbolic dysfunctions,1,1,10325006,imo,4012864,Anomic aphasia
Nervous system signs and symptoms,Cognitive problems,R413,R41.3,Other amnesia,1,1,192071009,imo,4099961,Mild memory disturbance
Other nervous system disorders (neither hereditary nor degenerative),Encephalopathy,G08,G08,Intracranial and intraspinal phlebitis and thrombophlebitis,1,1,60706008,imo,4263703,Phlebitis of torcular Herophili
Other specified upper respiratory infections,Acute pharyngitis,J040,J04.0,Acute laryngitis,1,1,55735004,imo,437222,Respiratory syncytial virus infection
"Musculoskeletal pain, not low back pain",Joint pain,M25569,M25.569,Pain in unspecified knee,1,1,301399007,imo,4116949,Musculoskeletal tenderness
Diabetes mellitus with complication,Diabetes mellitus,E11341,E11.341,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,1,1,63385005,imo,378431,Impairment level: better eye: moderate impairment: lesser eye: not further specified
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I82421,I82.421,Acute embolism and thrombosis of right iliac vein,1,1,128055005,imo,4133975,Deep venous thrombosis of pelvic vein
Other specified and unspecified lower respiratory disease,Pulmonary fibrosis,J8410,J84.10,"Pulmonary fibrosis, unspecified",1,1,50196008,imo,4173590,Perialveolar fibrosis of lung
Other general signs and symptoms,Edema,R52,R52,"Pain, unspecified",1,1,365092005,imo,4273948,Finding related to ability to mobilize
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R1010,R10.10,"Upper abdominal pain, unspecified",1,1,116290004,imo,4023573,Acute abdominal pain
Diabetes mellitus with complication,Diabetes mellitus,E113499,E11.3499,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",1,1,82551000119103,imo,45769872,Rubeosis iridis due to type 2 diabetes mellitus
Nervous system signs and symptoms,Cognitive problems,R2689,R26.89,Other abnormalities of gait and mobility,1,1,129859006,imo,4031883,Impaired bed mobility
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R10824,R10.824,Left lower quadrant rebound abdominal tenderness,1,1,439774009,imo,194755,Tenderness of left lower quadrant of abdomen
Nervous system signs and symptoms,Cognitive problems,R438,R43.8,Other disturbances of smell and taste,1,1,348083004,imo,4229142,Primary taste disorder
Other general signs and symptoms,Edema,R6250,R62.50,Unspecified lack of expected normal physiological development in childhood,1,1,765327005,imo,35623048,"Congenital sideroblastic anemia, B-cell immunodeficiency, periodic fever, developmental delay syndrome"
Diabetes mellitus with complication,Diabetes mellitus,E13620,E13.620,Other specified diabetes mellitus with diabetic dermatitis,1,1,710815001,imo,46272451,Long-term current use of insulin
Other nervous system disorders (neither hereditary nor degenerative),Encephalopathy,G9689,G96.89,Other specified disorders of central nervous system,1,1,277333006,imo,4082164,Cyst of central nervous system
Diabetes mellitus with complication,Diabetes mellitus,E11339,E11.339,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,1,1,422034002,imo,4226121,Retinopathy due to type 2 diabetes mellitus
Other general signs and symptoms,Edema,R6252,R62.52,Short stature (child),1,1,771179007,imo,36675005,"Extrasystoles, short stature, hyperpigmentation, microcephaly syndrome"
"Musculoskeletal pain, not low back pain",Joint pain,M79661,M79.661,Pain in right lower leg,1,1,287048003,imo,4115171,Pain in right lower limb
Diabetes mellitus with complication,Diabetes mellitus,E13359,E13.359,Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema,1,1,4855003,imo,4174977,Retinopathy due to diabetes mellitus
Sleep wake disorders,Sleep disorders,G4769,G47.69,Other sleep related movement disorders,1,1,90011000119105,imo,43531594,Organic sleep related movement disorder
Diabetes mellitus with complication,Diabetes mellitus,E103319,E10.3319,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,1,769219006,imo,35626069,Macular edema due to type 1 diabetes mellitus
Sleep wake disorders,Sleep disorders,G4750,G47.50,"Parasomnia, unspecified",1,1,449160007,imo,40493499,Exploding head syndrome
Headache; including migraine,Headache,G43701,G43.701,"Chronic migraine without aura, not intractable, with status migrainosus",1,1,124161000119104,imo,760968,Chronic migraine without aura with status migrainosus
Diabetes mellitus with complication,Diabetes mellitus,E1010,E10.10,Type 1 diabetes mellitus with ketoacidosis without coma,1,1,111556005,imo,4009303,Diabetic ketoacidosis without coma
Pressure ulcer of skin,Pressure ulcer,L89891,L89.891,"Pressure ulcer of other site, stage 1",1,1,771411008,imo,36675105,Injury of right foot
Pressure ulcer of skin,Pressure ulcer,L89123,L89.123,"Pressure ulcer of left upper back, stage 3",1,1,699218005,imo,44783165,Pressure ulcer of upper back
Diabetes mellitus with complication,Diabetes mellitus,E10622,E10.622,Type 1 diabetes mellitus with other skin ulcer,1,1,10678111000119101,imo,46269795,Ulcer of back
Respiratory signs and symptoms,Dyspnea,R0489,R04.89,Hemorrhage from other sites in respiratory passages,1,1,95431003,imo,4317284,Respiratory tract hemorrhage
Other general signs and symptoms,Edema,R498,R49.8,Other voice and resonance disorders,1,1,16617009,imo,40326053,Dysphonia
Diabetes mellitus with complication,Diabetes mellitus,E1143,E11.43,Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy,1,1,73211009,imo,201820,Diabetes mellitus
Respiratory signs and symptoms,Dyspnea,R053,R05.3,Chronic cough,1,1,162438006,imo,4037106,Symptom started weeks ago
Diabetes mellitus with complication,Diabetes mellitus,E133213,E13.3213,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",1,1,218951000119100,imo,45757571,Bilateral visual impairment
Fever,Fever,R5081,R50.81,Fever presenting with conditions classified elsewhere,1,1,95887000,imo,4319158,Mycoplasmal postabortal fever
Neurocognitive disorders,Dementia,F05,F05,Delirium due to known physiological condition,1,1,191512001,imo,4098172,"Subacute confusional state, of cerebrovascular origin"
Diabetes mellitus with complication,Diabetes mellitus,E11621,E11.621,Type 2 diabetes mellitus with foot ulcer,1,1,225561003,imo,135893,Pressure ulcer of heel
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R102,R10.2,Pelvic and perineal pain,1,1,55300003,imo,75635,Cramp
Diabetes mellitus with complication,Diabetes mellitus,E13618,E13.618,Other specified diabetes mellitus with other diabetic arthropathy,1,1,8801005,imo,195771,Secondary diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E13319,E13.319,Other specified diabetes mellitus with unspecified diabetic retinopathy without macular edema,1,1,268519009,imo,443238,Diabetic - poor control
Diabetes mellitus with complication,Diabetes mellitus,E133511,E13.3511,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",1,1,816961009,imo,37311833,Stable treated proliferative retinopathy of right eye due to diabetes mellitus
Headache; including migraine,Headache,G4440,G44.40,"Drug-induced headache, not elsewhere classified, not intractable",1,1,43242008,imo,4183441,Drug withdrawal headache
Other nervous system disorders (neither hereditary nor degenerative),Encephalopathy,G08,G08,Intracranial and intraspinal phlebitis and thrombophlebitis,1,1,192755002,imo,4104693,Embolism superior longitudinal sinus
Diabetes mellitus with complication,Diabetes mellitus,E103411,E10.3411,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",1,1,769217008,imo,35626067,Macular edema of right eye due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E1022,E10.22,Type 1 diabetes mellitus with diabetic chronic kidney disease,1,1,90771000119100,imo,45769904,End stage renal disease on dialysis due to type 1 diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E1336,E13.36,Other specified diabetes mellitus with diabetic cataract,1,1,25093002,imo,443767,Disorder of eye due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E11341,E11.341,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,1,1,408415007,imo,4235261,O/E - right eye diabetic maculopathy
Other general signs and symptoms,Edema,R638,R63.8,Other symptoms and signs concerning food and fluid intake,1,1,366356005,imo,4182771,Food and drink intake - finding
Diabetes mellitus with complication,Diabetes mellitus,E11341,E11.341,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,1,1,193716005,imo,4109118,"Better eye: severe visual impairment, Lesser eye: profound visual impairment"
Other specified upper respiratory infections,Acute pharyngitis,J00,J00,Acute nasopharyngitis [common cold],1,1,111273006,imo,4006969,Acute respiratory disease
Other general signs and symptoms,Edema,R6889,R68.89,Other general symptoms and signs,1,1,315266007,imo,4199937,Suspected cervical cancer
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I82433,I82.433,"Acute embolism and thrombosis of popliteal vein, bilateral",1,1,429098002,imo,4327889,Thromboembolism of vein
Diabetes mellitus with complication,Diabetes mellitus,E13319,E13.319,Other specified diabetes mellitus with unspecified diabetic retinopathy without macular edema,1,1,193570009,imo,375545,Cataract
Diabetes mellitus with complication,Diabetes mellitus,E083533,E08.3533,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",1,1,232011000,imo,4334883,Traction retinal detachment sparing macula
Nervous system signs and symptoms,Cognitive problems,R258,R25.8,Other abnormal involuntary movements,1,1,58593005,imo,4240224,Athetoid movement
Pressure ulcer of skin,Pressure ulcer,L89816,L89.816,Pressure-induced deep tissue damage of head,1,1,82479641000119102,imo,618680,Pressure injury of deep tissue of head
Sleep wake disorders,Sleep disorders,F5105,F51.05,Insomnia due to other mental disorder,1,1,193462001,imo,436962,Insomnia
Other specified and unspecified lower respiratory disease,Pulmonary fibrosis,J8410,J84.10,"Pulmonary fibrosis, unspecified",1,1,196124003,imo,4055639,Alveolar capillary block
Pressure ulcer of skin,Pressure ulcer,L89106,L89.106,Pressure-induced deep tissue damage of unspecified part of back,1,1,1156589002,imo,608005,Injury of back of trunk
Pressure ulcer of skin,Pressure ulcer,L89620,L89.620,"Pressure ulcer of left heel, unstageable",1,1,10634631000119105,imo,NULL,NULL
Diabetes mellitus with complication,Diabetes mellitus,E113393,E11.3393,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",1,1,397542006,imo,4288371,Moderate visual impairment
Nervous system signs and symptoms,Cognitive problems,R4189,R41.89,Other symptoms and signs involving cognitive functions and awareness,1,1,724760003,imo,37110498,Cognitive impairment co-occurrent and due to primary psychotic disorder
"Musculoskeletal pain, not low back pain",Joint pain,M2554,M25.54,Pain in joints of hand,1,1,NULL,imo,NULL,NULL
Diabetes mellitus with complication,Diabetes mellitus,E083513,E08.3513,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, bilateral",1,1,88768004,imo,377277,Impairment level: total impairment of both eyes
Diabetes mellitus with complication,Diabetes mellitus,E1169,E11.69,Type 2 diabetes mellitus with other specified complication,1,1,314902007,imo,4200875,Type 2 diabetes mellitus with peripheral angiopathy
Other specified and unspecified lower respiratory disease,Pulmonary fibrosis,J84112,J84.112,Idiopathic pulmonary fibrosis,1,1,700250006,imo,45763750,Idiopathic pulmonary fibrosis
Diabetes mellitus with complication,Diabetes mellitus,E138,E13.8,Other specified diabetes mellitus with unspecified complications,1,1,609571007,imo,43531013,"Maturity-onset diabetes of the young, type 4"
Diabetes mellitus with complication,Diabetes mellitus,E11641,E11.641,Type 2 diabetes mellitus with hypoglycemia with coma,1,1,421725003,imo,4226798,Hypoglycemic coma due to diabetes mellitus
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I82401,I82.401,Acute embolism and thrombosis of unspecified deep veins of right lower extremity,1,1,432805000,imo,4334183,Suspected deep vein thrombosis
